price,balance,btc,action,netBalance
55071,61627.232044879136,0,None,61627.232044879136
54884,61627.232044879136,0,None,61627.232044879136
53584,61627.232044879136,0,None,61627.232044879136
57797,61627.232044879136,0,None,61627.232044879136
57858,61627.232044879136,0,None,61627.232044879136
56610,61627.232044879136,0,None,61627.232044879136
57213,61627.232044879136,0,None,61627.232044879136
53242,0,1.1574928072739403,Buy,61627.23204487913
57473,66524.58411245517,0,Sell,66524.58411245517
56428,66524.58411245517,0,None,66524.58411245517
57380,0,1.1593688412766672,Buy,66524.58411245517
58929,68320.44644759272,0,Sell,68320.44644759272
58281,68320.44644759272,0,None,68320.44644759272
55884,68320.44644759272,0,Sell,68320.44644759272
56750,68320.44644759272,0,None,68320.44644759272
49007,68320.44644759272,0,Sell,68320.44644759272
49702,68320.44644759272,0,None,68320.44644759272
49923,68320.44644759272,0,None,68320.44644759272
46737,68320.44644759272,0,None,68320.44644759272
