Trained,Price,TextBlobPol,VaderPol,DictPol,TecAction,Best,Worst
1,53584,-1,0,0,-1,1,-1
1,57797,-1,0,1,-1,1,-1
1,57858,1,1,1,1,-1,1
-1,56610,-1,0,0,0,1,-1
1,57213,-1,0,0,1,-1,1
1,53242,-1,0,0,1,1,-1
1,57473,-1,0,1,1,-1,1
1,56428,-1,-1,0,-1,1,-1
0,57380,-1,1,0,-1,1,-1
0,58929,-1,1,0,1,-1,1
1,58281,-1,1,0,1,-1,1
1,55884,-1,-1,0,1,1,-1
-1,56750,-1,0,0,1,-1,1
0,49007,-1,0,0,1,1,-1
1,49702,-1,-1,1,1,1,-1
-1,49923,-1,-1,0,1,-1,1
-1,46737,-1,0,0,1,-1,1
-1,46442,-1,-1,0,0,-1,1
-1,43596,-1,-1,0,1,-1,1
-1,42912,-1,0,-1,1,-1,1
1,36964,-1,1,0,0,1,-1
