,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
68,2022-06-07 01:55:15,65_pastek,,,915,142,3802,0,"The best Crypto Analytic on #fintwit is @InspoCrypto ...
Give him a follow guys...he said $BTC will nuke yesterday  .... if u know u know... Love u man 💙",['fintwit']
69,2022-06-07 01:55:15,imhopingtowin,"God is Great🙏🏼🍀 follow me = follow back💗 more blessing this year 2022 🍀🍀 #VastWinner
@OfficialTravlad #TravNotiGang",Republic of the Philippines,4104,63,13548,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
70,2022-06-07 01:55:14,rochim_lukman,,,394,7,592,666,"Those who participated in Stage 1 won. now it's your turn 💪
Join the project supported by the great community.

⏰ #Presale Stage 2 continues at full speed 🚀

👉🟢Stage 2 : 1 FLF = 0.0040 USDT
🟡 Stage 3: 1 FLF = 0.0080 USDT

👉 https://t.co/EMtzFZ6Xwe
#BSC #airdrop #USDT #BTC https://t.co/f5tA0kbHZl",[]
71,2022-06-07 01:55:14,nate_bruv,⚡️👁🎉,Heavenly Places ,108,123,2090,13,"#BTC to 79k till October!!!

Atm btc is in its final phase of shaping a bottom. It could be around 26k or 24k. Don't miss the dip if you get one also ""OPTIMISM"" profit target is $4 atleast. Keep in mind patience will pay big this time.

#crypto #bullrun2022 #altcoins",['BTC']
72,2022-06-07 01:55:14,NoHalfPints,"'Stay satisfied, my friends'","Niagara Region, ON, CANADA",360,348,6439,3,"These are the CORRECT published links - [ Apologize for any confusion ] for Articles 1 through 4
Article 1 - Best Long Cryptocurrency to invest today is not BTC or ETH but TERAREUM — ERC20 token https://t.co/v5CU70RXFr 
@terareum #TerareumTech @miltonterareum @RDPrice",[]
73,2022-06-07 01:55:13,TonyF456y,"Just having fun with crypto! Not financial advice, do your own research 🧐!",,78,290,14922,6,Day 39 tracking @VoltInuOfficial 🔥. We're still on track to burning 7.5T eoy. I'm fearlessly forecasting 9 to 12T based on Voltichange &amp; Voltisoft alone. There are other 🔥ing mechanisms that haven't even been discussed yet. July &amp; August? Probably nothing...LFV ⚡️⚡️⚡️ #BTC #ETH https://t.co/qR85m2AW1Z,[]
74,2022-06-07 01:55:13,Laevitas_Bot,"Deribit Trade Bot
Telegram bot: https://t.co/ph8QHtqD2g
Options Analytics: https://t.co/JjIaCUtNNI",,0,1540,93596,0,"FUTURES_SPREAD @ $290.0 
🔴 Sold $252.11K (8.58511₿) 🔶BTC-30SEP22 at $29657.63 (Basis: $291.67)
🟢 Bought $252.11K (8.58511₿) 🔶BTC-PERPETUAL at $29367.63 (Basis: $1.67)
Index Price $29365.96 
Block Trade ID : 40978
#block_trade",['block_trade']
75,2022-06-07 01:55:13,mwbaird17,,,112,16,353,0,"@TheisGeoff @CynthiaMLummis Anyone who wants crypto to succeed has no desire for useless altcoins to remain in the space. That’s why I’m invested in useful altcoins, all of which far outperform BTC.",[]
76,2022-06-07 01:55:12,FiyachtLLC,Driving financial vehicles through the intersection of technology & art. Honk.,"California, USA",631,164,4532,7,"Bitcoin firmly under 30k.

#Bitcoin 29773.00 -5.3%

$BTC https://t.co/Z6aGdOtIE9",['Bitcoin']
77,2022-06-07 01:55:12,btc_logistics,Bitcoin,"Milwaukee, WI",1035,173,2588,2,💯% agree! https://t.co/EQZfx73qSH,[]
78,2022-06-07 01:55:12,MAXX0003,#CRO,,111,8,981,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
79,2022-06-07 01:55:12,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 36.28 $BTC valued at $1,063,110",[]
80,2022-06-07 01:55:12,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 10.35 $BTC valued at $303,380",[]
81,2022-06-07 01:55:12,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 16.53 $BTC valued at $484,474",[]
82,2022-06-07 01:55:12,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 44.78 $BTC valued at $1,312,100",[]
83,2022-06-07 01:55:12,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 16.39 $BTC valued at $480,103",[]
