Date,Open,Volume,Market Cap
"Nov 28, 2021","$54,813.02","$28,116,886,357","$1,081,180,416,262"
"Nov 27, 2021","$53,736.43","$30,560,857,714","$1,035,176,249,679"
"Nov 26, 2021","$58,960.29","$41,810,748,221","$1,011,613,083,342"
"Nov 25, 2021","$57,165.42","$34,284,016,248","$1,081,500,188,674"
"Nov 24, 2021","$57,565.85","$36,635,566,789","$1,062,661,698,465"
"Nov 23, 2021","$56,304.56","$37,485,803,899","$1,086,985,075,773"
"Nov 22, 2021","$58,706.85","$35,036,121,783","$1,062,772,703,759"
"Nov 21, 2021","$59,730.51","$26,123,447,605","$1,108,812,311,533"
"Nov 20, 2021","$58,115.08","$30,624,264,863","$1,127,014,430,118"
"Nov 19, 2021","$56,896.13","$38,702,407,772","$1,097,177,697,853"
"Nov 18, 2021","$60,360.14","$41,388,338,699","$1,074,900,976,539"
"Nov 17, 2021","$60,139.62","$39,178,392,930","$1,139,519,389,072"
"Nov 16, 2021","$63,721.20","$46,844,335,592","$1,135,559,300,073"
"Nov 15, 2021","$65,521.29","$30,558,763,548","$1,199,611,097,094"
"Nov 14, 2021","$64,455.37","$25,122,092,191","$1,235,578,996,842"
"Nov 13, 2021","$64,158.12","$30,474,228,777","$1,216,695,126,358"
"Nov 12, 2021","$64,863.98","$36,084,893,887","$1,210,715,199,478"
"Nov 11, 2021","$64,978.89","$35,880,633,236","$1,225,643,127,560"
"Nov 10, 2021","$66,953.34","$48,730,828,378","$1,226,431,510,693"
"Nov 09, 2021","$67,549.74","$42,357,991,721","$1,263,667,113,597"
"Nov 08, 2021","$63,344.07","$41,125,608,330","$1,274,831,490,851"
"Nov 07, 2021","$61,554.92","$24,726,754,302","$1,194,778,776,481"
"Nov 06, 2021","$61,068.87","$29,094,934,221","$1,160,769,349,887"
"Nov 05, 2021","$61,460.08","$30,605,102,446","$1,153,128,571,128"
"Nov 04, 2021","$62,941.80","$32,615,846,901","$1,159,231,375,022"
"Nov 03, 2021","$63,254.33","$36,124,731,509","$1,187,808,286,560"
"Nov 02, 2021","$60,963.25","$37,746,665,647","$1,192,577,136,210"
"Nov 01, 2021","$61,320.45","$36,150,572,843","$1,150,606,762,880"
"Oct 31, 2021","$61,850.49","$32,241,199,927","$1,156,485,845,063"
"Oct 30, 2021","$62,239.36","$32,157,938,616","$1,167,178,054,167"
"Oct 29, 2021","$60,624.87","$36,856,881,767","$1,173,512,442,368"
"Oct 28, 2021","$58,470.73","$45,257,083,247","$1,143,165,999,365"
"Oct 27, 2021","$60,352.00","$43,657,076,893","$1,102,757,767,323"
"Oct 26, 2021","$63,032.76","$34,878,965,587","$1,138,177,770,430"
"Oct 25, 2021","$60,893.93","$31,064,911,614","$1,188,575,312,422"
"Oct 24, 2021","$61,368.34","$27,316,183,882","$1,148,743,134,468"
"Oct 23, 2021","$60,694.63","$26,882,546,034","$1,157,410,091,263"
"Oct 22, 2021","$62,237.89","$38,434,082,775","$1,144,131,483,274"
"Oct 21, 2021","$66,002.23","$45,908,121,370","$1,172,684,282,558"
"Oct 20, 2021","$64,284.59","$40,788,955,582","$1,243,927,428,207"
"Oct 19, 2021","$62,043.17","$40,471,196,346","$1,211,242,526,571"
"Oct 18, 2021","$61,548.80","$38,055,562,075","$1,169,039,169,043"
"Oct 17, 2021","$60,887.65","$29,032,367,511","$1,160,077,513,368"
"Oct 16, 2021","$61,609.53","$34,250,964,237","$1,147,551,202,767"
"Oct 15, 2021","$57,345.90","$51,780,081,801","$1,160,726,409,230"
"Oct 14, 2021","$57,372.83","$36,615,791,366","$1,080,160,001,108"
"Oct 13, 2021","$56,038.26","$41,684,252,783","$1,081,611,750,762"
"Oct 12, 2021","$57,526.83","$41,083,758,949","$1,055,926,265,435"
"Oct 11, 2021","$54,734.12","$42,637,331,698","$1,083,079,138,639"
"Oct 10, 2021","$54,952.82","$39,527,792,364","$1,031,909,532,688"
