,Date,Price,Open,High,Low,Vol.,Change %
189,1638230400.0,"56,882.9","57,795.2","59,174.4","55,936.9",73.66K,-1.58%
190,1638144000.0,"57,794.8","57,288.1","58,855.2","56,726.7",58.65K,0.88%
191,1638057600.0,"57,291.5","54,758.0","57,392.3","53,448.3",49.28K,4.61%
192,1637971200.0,"54,765.9","53,747.2","55,280.3","53,654.3",40.71K,1.93%
193,1637884800.0,"53,730.9","58,937.3","59,151.1","53,533.5",104.03K,-8.83%
194,1637798400.0,"58,935.1","57,167.1","59,387.3","57,029.8",56.79K,3.08%
195,1637712000.0,"57,171.7","57,559.4","57,697.4","55,910.6",56.68K,-0.70%
196,1637625600.0,"57,573.2","56,304.8","57,855.1","55,542.5",72.48K,2.25%
197,1637539200.0,"56,308.8","58,719.7","59,288.3","55,656.8",76.45K,-4.10%
198,1637452800.0,"58,714.3","59,724.0","60,002.6","58,528.3",40.98K,-1.68%
199,1637366400.0,"59,717.6","58,080.8","59,854.6","57,435.3",44.53K,2.81%
200,1637280000.0,"58,083.4","56,908.3","58,335.9","55,626.3",74.44K,1.98%
201,1637193600.0,"56,955.3","60,368.2","60,936.9","56,524.4",100.37K,-5.65%
202,1637107200.0,"60,367.8","60,074.2","60,814.5","58,531.9",73.93K,0.46%
203,1637020800.0,"60,089.1","63,605.1","63,605.6","58,655.9",115.36K,-5.52%
204,1636934400.0,"63,597.9","65,514.9","66,311.2","63,439.5",53.53K,-2.92%
205,1636848000.0,"65,508.2","64,397.2","65,508.2","63,608.3",33.98K,1.72%
206,1636761600.0,"64,398.6","64,133.3","64,906.0","63,381.4",30.34K,0.41%
207,1636675200.0,"64,134.5","64,782.6","65,449.7","62,309.7",63.27K,-1.04%
208,1636588800.0,"64,806.7","64,922.8","65,583.3","64,121.9",50.37K,-0.19%
209,1636502400.0,"64,932.6","66,942.6","68,990.6","62,951.3",96.21K,-2.95%
210,1636416000.0,"66,904.4","67,528.7","68,493.3","66,334.9",66.13K,-0.92%
211,1636329600.0,"67,527.9","63,276.4","67,763.3","63,276.4",81.08K,6.72%
212,1636243200.0,"63,273.2","61,483.8","63,273.2","61,347.2",34.34K,2.91%
213,1636156800.0,"61,483.9","60,973.2","61,543.2","60,093.6",34.89K,0.84%
214,1636070400.0,"60,974.3","61,411.5","62,560.3","60,742.4",44.46K,-0.71%
215,1635984000.0,"61,412.6","62,915.4","63,077.6","60,742.9",49.91K,-2.39%
216,1635897600.0,"62,918.5","63,223.5","63,508.6","60,883.0",61.05K,-0.48%
217,1635811200.0,"63,221.7","60,912.2","64,256.4","60,651.5",65.26K,3.79%
218,1635724800.0,"60,915.3","61,310.1","62,430.1","59,612.7",61.21K,-0.64%
219,1635638400.0,"61,309.6","61,842.2","62,393.7","60,005.7",50.06K,-0.86%
220,1635552000.0,"61,840.1","62,245.0","62,338.5","60,786.0",40.51K,-0.65%
221,1635465600.0,"62,242.8","60,579.9","62,952.2","60,322.2",63.39K,2.74%
222,1635379200.0,"60,582.5","58,437.2","62,251.3","58,128.1",88.47K,3.67%
223,1635292800.0,"58,438.1","60,312.5","61,452.9","58,112.6",88.11K,-3.11%
224,1635206400.0,"60,310.8","63,067.5","63,275.1","59,907.3",57.13K,-4.37%
225,1635120000.0,"63,067.0","60,864.3","63,694.8","60,655.8",51.06K,3.62%
226,1635033600.0,"60,866.5","61,308.2","61,469.9","59,523.7",42.67K,-0.73%
227,1634947200.0,"61,312.5","60,693.2","61,728.7","59,738.3",37.05K,1.03%
228,1634860800.0,"60,690.3","62,200.8","63,699.7","60,055.7",75.69K,-2.44%
229,1634774400.0,"62,210.2","66,004.6","66,616.9","62,092.1",105.38K,-5.71%
230,1634688000.0,"65,979.1","64,276.9","66,967.1","63,543.7",79.87K,2.65%
231,1634601600.0,"64,278.5","62,030.2","64,454.0","61,451.0",80.16K,3.58%
232,1634515200.0,"62,056.3","61,525.8","62,623.6","60,026.9",80.15K,0.86%
233,1634428800.0,"61,527.5","60,865.5","61,651.4","59,143.4",53.39K,1.09%
234,1634342400.0,"60,861.1","61,669.2","62,329.2","60,161.9",49.93K,-1.32%
235,1634256000.0,"61,672.5","57,348.2","62,892.8","56,874.8",121.48K,7.54%
236,1634169600.0,"57,345.8","57,370.4","58,506.5","56,866.8",59.84K,-0.06%
237,1634083200.0,"57,380.1","56,014.5","57,697.4","54,314.4",73.62K,2.44%
238,1633996800.0,"56,015.9","57,480.6","57,635.7","54,155.4",74.85K,-2.54%
239,1633910400.0,"57,477.3","54,686.9","57,814.1","54,457.8",73.84K,5.10%
240,1633824000.0,"54,687.7","54,942.5","56,432.2","54,100.8",104.43K,-0.46%
241,1633737600.0,"54,942.5","53,924.1","55,430.8","53,711.7",64.65K,1.91%
242,1633651200.0,"53,914.7","53,785.5","55,977.9","53,659.3",64.05K,0.24%
243,1633564800.0,"53,783.9","55,325.2","55,325.6","53,476.4",75.68K,-2.78%
244,1633478400.0,"55,323.2","51,470.0","55,676.1","50,439.5",116.26K,7.49%
245,1633392000.0,"51,469.3","49,229.5","51,872.4","49,060.1",76.63K,4.55%
246,1633305600.0,"49,227.3","48,200.4","49,481.7","46,958.6",66.92K,2.13%
247,1633219200.0,"48,200.1","47,665.4","49,165.2","47,123.0",42.41K,1.12%
248,1633132800.0,"47,666.9","48,147.2","48,306.9","47,451.7",39.82K,-1.00%
249,1633046400.0,"48,146.0","43,824.4","48,435.2","43,292.9",94.66K,9.86%
250,1632960000.0,"43,823.3","41,534.5","44,101.2","41,416.7",64.32K,5.50%
251,1632873600.0,"41,536.8","41,023.1","42,571.2","40,815.0",48.21K,1.25%
252,1632787200.0,"41,022.3","42,169.9","42,758.8","40,906.4",60.01K,-2.73%
