Date,Open
"Nov 17, 2020","$16,685.69"
"Nov 16, 2020","$15,955.58"
"Nov 15, 2020","$16,068.14"
"Nov 14, 2020","$16,317.81"
"Nov 13, 2020","$16,276.44"
"Nov 12, 2020","$15,701.30"
"Nov 11, 2020","$15,290.91"
"Nov 10, 2020","$15,332.35"
"Nov 09, 2020","$15,479.60"
"Nov 08, 2020","$14,833.75"
"Nov 07, 2020","$15,565.88"
"Nov 06, 2020","$15,579.73"
"Nov 05, 2020","$14,133.73"
"Nov 04, 2020","$13,950.49"
"Nov 03, 2020","$13,550.45"
"Nov 02, 2020","$13,737.03"
"Nov 01, 2020","$13,780.99"
"Oct 31, 2020","$13,546.53"
"Oct 30, 2020","$13,437.87"
"Oct 29, 2020","$13,271.30"
"Oct 28, 2020","$13,654.21"
"Oct 27, 2020","$13,075.24"
"Oct 26, 2020","$13,031.20"
"Oct 25, 2020","$13,108.06"
"Oct 24, 2020","$12,931.57"
"Oct 23, 2020","$12,971.55"
"Oct 22, 2020","$12,801.64"
"Oct 21, 2020","$11,913.08"
"Oct 20, 2020","$11,745.97"
"Oct 19, 2020","$11,495.04"
"Oct 18, 2020","$11,355.98"
"Oct 17, 2020","$11,322.12"
"Oct 16, 2020","$11,502.83"
"Oct 15, 2020","$11,426.60"
"Oct 14, 2020","$11,429.05"
"Oct 13, 2020","$11,548.72"
"Oct 12, 2020","$11,392.64"
"Oct 11, 2020","$11,296.08"
"Oct 10, 2020","$11,059.14"
"Oct 09, 2020","$10,927.91"
"Oct 08, 2020","$10,669.37"
"Oct 07, 2020","$10,603.36"
"Oct 06, 2020","$10,796.31"
"Oct 05, 2020","$10,676.53"
"Oct 04, 2020","$10,550.44"
"Oct 03, 2020","$10,575.10"
"Oct 02, 2020","$10,619.82"
"Oct 01, 2020","$10,795.25"
"Sep 30, 2020","$10,843.87"
"Sep 29, 2020","$10,709.65"
"Sep 28, 2020","$10,776.61"
"Sep 27, 2020","$10,746.89"
"Sep 26, 2020","$10,695.58"
"Sep 25, 2020","$10,761.11"
"Sep 24, 2020","$10,248.79"
"Sep 23, 2020","$10,535.49"
"Sep 22, 2020","$10,459.62"
"Sep 21, 2020","$10,934.93"
"Sep 20, 2020","$11,095.87"
"Sep 19, 2020","$10,933.75"
"Sep 18, 2020","$10,951.82"
"Sep 17, 2020","$10,973.25"
"Sep 16, 2020","$10,797.76"
"Sep 15, 2020","$10,677.75"
"Sep 14, 2020","$10,328.73"
